G43-836;Амортизатор Tashiko задній Dacia- Renault Sandero, Logan II, Logan MCV II 2012-- 343836 316976;38;23,26
BTS5470;Колодки гальмівні Tashiko задні BMW 1, 3, X1 BTS5470 FDB1807;2;22
M65-036;Картридж амортизатора Tashiko передній Daewoo Lanos, Nexia, Sens 1995-- 665036 100338;10;20,23
HY-52495;Пружина Tashiko передня Hyundai Sonata 1988-2004 55350-33300;1;28,5
SMBT3147;Підшипник опори Tashiko Nissan Micra K11 1995-- SMBT3147 54325-41B01;12;5,72
BTS5316S;Колодки гальмівні Tashiko задні Mitsubishi ASX, Outlander Citroen C4 Aircross Peugeot 4008 Mazda 6 FDB4739;21;14
BTR5080;Колодки гальмівні Tashiko задні Toyota Land Cruiser Prado Lexus LX FDB1457;1;21
BTR2292;Колодки гальмівні Tashiko передні Lexus ES, NX, RX Toyota Camry, RAV4, Highlander, Sienna, Alphard FDB4354;2;29
G99-539;Амортизатор Tashiko задній Toyota Land Cruiser J200 2007-- 345093;26;38
RE-11905;Пружина Tashiko передня Renault Espace IV 2002-- 8200071762;16;35
G99-515;Амортизатор Tashiko задній Renault Twingo Smart ForTwo 2014-- 3438007 317395;4;44
BTS5452;Колодки гальмівні Tashiko задні Honda Accord, Civic, CR-V BTS5452 FDB4227;1;26
BTS2480;Колодки гальмівні Tashiko передні Mercedes-Benz A-Class BTS2480 FDB1593 FDB1749;1;28
G99-569;Стійка амортизатора Tashiko передня права Mini Cooper R50 R52 R53 2002-2006 334621;2;44
G88-151;Стійка амортизатора Tashiko передня ліва Hyundai Tucson 2015-- 54651-D3000 319599;24;57
G99-609;Стійка амортизатора Tashiko передня ліва Acura MDX 2006-- 339038;4;68
G99-662;Амортизатор Tashiko задній Mini Cooper R50 R52 R53 2001-- G99-662 341924;4;39,6
G99-957;Стійка амортизатора Tashiko передня ліва Hyundai Santa FE IV 2018- G99-957;1;65
G33-208;Стійка амортизатора Tashiko задня ліва Hyundai Coupe J2, RD, Lantra J2 1995-2000 333208;13;35
G34-309;Стійка амортизатора Tashiko передня ліва Mitsubishi Carisma, Space Star 1995-2006 334309;13;38
M35-853;Стійка амортизатора Tashiko передня Fiat Ducato 1994-2006 635853 280977;8;45
BTS2282;Колодки гальмівні Tashiko передні Hyundai i20 FDB4234;3;12
G99-886;Амортизатор Tashiko задній Buick Envision Chevrolet Equinox GMC Terrain 2016-2020 3440096;27;28
G99-251;Стійка амортизатора Tashiko передня права BMW X1 2009-2015 3358001;1;30
G43-435;Амортизатор Tashiko задній Suzuki Grand Vitara II 2005-2015 343435;1;27,12
G99-695;Амортизатор Tashiko задній BMW 5 Series G38 2016-- 33526866656;4;66
WA-199;Опора амортизатора Tashiko задня Audi A1, A3, Q3, TT Skoda Octavia II, Superb II VW Passat B6, B7, CC WA-199 3C0513353C;3;11
G33-418;Стійка амортизатора Tashiko передня ліва Chevrolet Aveo, Kalos Daewoo Kalos 2002-2012 333418;6;33
HY-51411;Пружина Tashiko передня Hyundai Lantra J2 1995-- 54630-29010;2;22,5
SMBT3044M;Підшипник опори Tashiko Nissan Note E11, NV200, X-Trail T31 Renault Clio III, Modus, SMBT3044M 54325-ED00A;6;18
L53-197;Амортизатор Tashiko передній Mercedes-Benz E-Class W210 1995-2003 553197 124390 317256;20;25,43
BTS5317;Колодки гальмівні Tashiko задні Toyota Camry, Avensis, Corolla, Carina E, Carina II, Celica, MR2 FDB478;2;14
BTS2027;Колодки гальмівні Tashiko передні Kia Clarus FDB1125;5;19,2
BTR2473;Колодки гальмівні Tashiko передні Mercedes-Benz A-Class, B-Class FDB1750;1;27
TS-9242;Захисний комплект Tashiko передній Opel Agila Suzuki Splash 2007-- 900222;18;9,7
G44-804;Амортизатор Tashiko задній Renault Scenic II, Grand Scenic II 2003-2009 344804 310058;6;28,42
